price,size,piperepair_plug,pipe_repair,sq_price,area,year_built,room_num,sqprice_adjusted
249000.0,45.0,712.5,2004,5533.33, Haaga,1954.0,2,6245.83
229000.0,80.0,0.0,2035,2862.5, Kaarela,1985.0,3,2862.5
445000.0,10.0,75.0,2021,44500.0, Tapaninkylä,1971.0,3,44575.0
10977.0,45.0,0.0,2044,243.93, Pikku Huopalahti,1994.0,2,243.93
269000.0,51.0,337.5,2014,5274.51, Etelä-Haaga,1964.0,2,5612.01
874000.0,75.0,2437.5,1958,11653.33, Ullanlinna,1908.0,2,14090.83
449000.0,48.0,0.0,2069,9354.17, Kalasatama,2019.0,2,9354.17
285000.0,65.0,0.0,2055,4384.62, Viikinmäki,2005.0,3,4384.62
294500.0,62.0,0.0,2023,4750.0, Herttoniemi,1973.0,,4750.0
145000.0,59.0,225.0,2017,2457.63, Kontula,1967.0,3,2682.63
207000.0,46.0,0.0,2042,4500.0, Tali,1992.0,2,4500.0
385000.0,63.0,562.5,2008,6111.11, Lauttasaari,1958.0,3,6673.61
449000.0,68.0,750.0,2003,6602.94, Vallila,1953.0,3,7352.94
274000.0,50.0,262.5,2016,5480.0, Etelä-Haaga,1966.0,2,5742.5
382690.0,62.0,0.0,2073,6172.42, Verkkosaari,2023.0,3,6172.42
254713.0,38.0,0.0,2073,6702.97, Verkkosaari,2023.0,2,6702.97
215000.0,81.0,150.0,2019,2654.32, Vuosaari,1969.0,3,2804.32
429000.0,51.0,0.0,2071,8411.76, Kalasatama,2021.0,2,8411.76
498000.0,49.0,0.0,2066,10163.27, Jätkäsaari,2016.0,2,10163.27
279500.0,43.0,37.5,2022,6500.0, Kallio,1972.0,2,6537.5
280000.0,74.0,0.0,2035,3783.78, Länsi-Pasila,1985.0,3,3783.78
400000.0,52.0,2287.5,1962,7692.31, Kallio,1912.0,2,9979.810000000001
220000.0,38.0,1087.5,1994,5789.47, Käpylä,1944.0,2,6876.97
459000.0,45.0,1312.5,1988,10200.0, Kamppi,1938.0,2,11512.5
568000.0,86.0,2325.0,1961,6604.65, Kruununhaka,1911.0,3,8929.65
998000.0,12.0,1687.5,1978,83166.67, Kruununhaka,1928.0,3,84854.17
556000.0,83.0,2325.0,1961,6698.8, Kruununhaka,1911.0,3,9023.8
189000.0,60.0,375.0,2013,3150.0, Konala,1963.0,3,3525.0
248900.0,44.0,0.0,2054,5656.82, Viikki,2004.0,2,5656.82
315000.0,75.0,0.0,2033,4200.0, Pakila,1983.0,3,4200.0
254000.0,91.0,0.0,2038,2791.21, Pitäjänmäki,1988.0,3,2791.21
375000.0,56.0,1350.0,1987,6696.43, Töölö,1937.0,2,8046.43
376066.0,48.0,0.0,2070,7834.71, Kalasatama,2020.0,2,7834.71
167000.0,45.0,0.0,2040,3711.11, Laajasalo,1990.0,2,3711.11
452961.0,73.0,0.0,2075,6204.95, Tammisalo,2025.0,3,6204.95
565000.0,65.0,0.0,2070,8692.31, Sompasaari,2020.0,3,8692.31
349000.0,77.0,787.5,2002,4532.47, Käpylä,1952.0,3,5319.97
189000.0,71.0,0.0,2042,2661.97, Vuosaari,1992.0,3,2661.97
543000.0,75.0,0.0,2070,7240.0, Lauttasaari,2020.0,3,7240.0
400000.0,75.0,0.0,2031,5333.33, Katajanokka,1981.0,3,5333.33
219880.0,38.0,600.0,2007,5786.32, Munkkiniemi,1957.0,2,6386.32
349900.0,45.0,0.0,2073,7775.56, Oulunkylä,2023.0,2,7775.56
275000.0,60.0,0.0,2050,4583.33, Pitäjänmäki,2000.0,2,4583.33
295000.0,44.0,1387.5,1986,6704.55, Taka-Töölö,1936.0,2,8092.05
298000.0,36.0,1650.0,1979,8277.78, Töölö,1929.0,2,9927.78
189000.0,42.0,562.5,2008,4500.0, Länsi-Pakila,1958.0,2,5062.5
229000.0,63.0,0.0,2071,3634.92, Myllypuro,2021.0,2,3634.92
815000.0,97.0,1762.5,1976,8402.06, Etu-Töölö,1926.0,3,10164.56
138000.0,37.0,0.0,2039,3729.73, Vartioharju,1989.0,2,3729.73
279000.0,50.0,0.0,2027,5580.0, Lauttasaari,1977.0,2,5580.0
209000.0,33.0,0.0,2071,6333.33, Herttoniemi,2021.0,2,6333.33
412000.0,72.0,1312.5,1988,5722.22, Taka-Töölö,1938.0,3,7034.72
264000.0,40.0,450.0,2011,6600.0, Kulosaari,1961.0,2,7050.0
287732.0,49.0,0.0,2075,5872.08, Pirkkola,2025.0,2,5872.08
32428.0,42.0,0.0,2069,772.1, Mellunkylä,2019.0,2,772.1
18900.0,49.0,0.0,2047,385.71, Pikku Huopalahti,1997.0,2,385.71
279000.0,75.0,0.0,2054,3720.0, Puistola,2004.0,3,3720.0
160000.0,45.0,337.5,2014,3555.56, Pihlajamäki,1964.0,2,3893.06
99000.0,43.0,225.0,2017,2302.33, Mellunkylä,1967.0,2,2527.33
465000.0,76.0,187.5,2018,6118.42, Kallio,1968.0,3,6305.92
224000.0,55.0,0.0,2069,4072.73, Mellunkylä,2019.0,2,4072.73
149000.0,50.0,337.5,2014,2980.0, Myllypuro,1964.0,2,3317.5
339000.0,53.0,1237.5,1990,6396.23, Hietalahti,1940.0,2,7633.73
398000.0,50.0,1275.0,1989,7960.0, Kruununhaka,1939.0,2,9235.0
419450.0,69.0,0.0,2074,6078.99, Kalasatama Verkkosaari,2024.0,3,6078.99
305000.0,77.0,0.0,2061,3961.04, Malmi,2011.0,3,3961.04
222000.0,78.0,0.0,2024,2846.15, Pitäjänmäki,1974.0,3,2846.15
269000.0,50.0,712.5,2004,5380.0, Haaga,1954.0,3,6092.5
275600.0,62.0,412.5,2012,4445.16, Maunula,1962.0,3,4857.66
259900.0,52.0,0.0,2068,4998.08, Kuninkaantammi,2018.0,2,4998.08
148000.0,69.0,0.0,2037,2144.93, Pihlajamäki,1987.0,3,2144.93
339000.0,63.0,0.0,2072,5380.95, Viikinmäki,2022.0,3,5380.95
249000.0,56.0,562.5,2008,4446.43, Roihuvuori,1958.0,3,5008.93
479700.0,41.0,0.0,2071,11700.0, Meilahti,2021.0,2,11700.0
668700.0,73.0,0.0,2072,9160.27, Meilahti,2022.0,3,9160.27
523100.0,43.0,0.0,2073,12165.12, Meilahti,2023.0,2,12165.12
206000.0,49.0,0.0,2049,4204.08, Veräjälaakso,1999.0,2,4204.08
659000.0,65.0,0.0,2071,10138.46, Kalasatama,2021.0,3,10138.46
322000.0,66.0,0.0,2053,4878.79, Aurinkolahti,2003.0,3,4878.79
269000.0,69.0,0.0,2067,3898.55, Mellunkylä,2017.0,3,3898.55
169000.0,58.0,0.0,2039,2913.79, Kurkimäki,1989.0,2,2913.79
117000.0,52.0,300.0,2015,2250.0, Vuosaari,1965.0,2,2550.0
144000.0,53.0,300.0,2015,2716.98, Myllypuro,1965.0,2,3016.98
12800.0,94.0,2287.5,1962,136.17, Eira,1912.0,3,2423.67
895000.0,82.0,2250.0,1963,10914.63, Kaartinkaupunki,1913.0,2,13164.63
139000.0,59.0,262.5,2016,2355.93, Kontula,1966.0,3,2618.43
443000.0,58.0,0.0,2069,7637.93, Vallila,2019.0,2,7637.93
49766.0,80.0,0.0,2064,622.08, Mellunkylä,2014.0,3,622.08
259000.0,74.0,0.0,2030,3500.0, Haaga,1980.0,3,3500.0
498000.0,56.0,2625.0,1953,8892.86, Punavuori,1903.0,2,11517.86
919000.0,88.0,0.0,2072,10443.18, Munkkiniemi,2022.0,2,10443.18
199500.0,75.0,75.0,2021,2660.0, Vuosaari,1971.0,3,2735.0
268000.0,51.0,787.5,2002,5254.9, Haaga,1952.0,2,6042.4
359000.0,72.0,0.0,2032,4986.11, Länsi-Pasila,1982.0,3,4986.11
524000.0,63.0,0.0,2059,8317.46, Etu-Töölö,2009.0,2,8317.46
219000.0,51.0,0.0,2050,4294.12, Vuosaari,2000.0,2,4294.12
275000.0,43.0,150.0,2019,6395.35, Vallila,1969.0,2,6545.35
219000.0,42.0,0.0,2072,5214.29, Pasila,2022.0,2,5214.29
329000.0,56.0,1350.0,1987,5875.0, Taka-Töölö,1937.0,2,7225.0
325000.0,46.0,1312.5,1988,7065.22, Taka-Töölö,1938.0,2,8377.720000000001
85000.0,44.0,300.0,2015,1931.82, Myllypuro,1965.0,2,2231.8199999999997
239000.0,71.0,0.0,2051,3366.2, Itäkeskus,2001.0,3,3366.2
279000.0,57.0,0.0,2058,4894.74, Pitäjänmäki,2008.0,2,4894.74
269000.0,67.0,0.0,2024,4014.93, Merihaka,1974.0,3,4014.93
185000.0,41.0,0.0,2070,4512.2, Tapaninkylä,2020.0,2,4512.2
259000.0,82.0,0.0,2032,3158.54, Pihlajamäki,1982.0,3,3158.54
299000.0,80.0,0.0,2032,3737.5, Lassila,1982.0,3,3737.5
559000.0,73.0,0.0,2048,7657.53, Kluuvi,1998.0,3,7657.53
275000.0,50.0,412.5,2012,5500.0, Hakaniemi,1962.0,2,5912.5
299000.0,54.0,525.0,2009,5537.04, Kallio,1959.0,1,6062.04
395000.0,60.0,1350.0,1987,6583.33, Taka-Töölö,1937.0,2,7933.33
389000.0,67.0,1275.0,1989,5805.97, Etelä-Haaga,1939.0,3,7080.97
32199.0,54.0,0.0,2060,596.28, Suurmetsä,2010.0,2,596.28
183500.0,74.0,337.5,2014,2479.73, Myllypuro,1964.0,3,2817.23
277000.0,46.0,0.0,2074,6021.74, Haaga,2024.0,2,6021.74
438000.0,54.0,2362.5,1960,8111.11, Kruununhaka,1910.0,2,10473.61
435000.0,71.0,0.0,2074,6126.76, Tapaninvainio,2024.0,3,6126.76
165000.0,56.0,0.0,2027,2946.43, Vartiokylä,1977.0,2,2946.43
690000.0,61.0,2550.0,1955,11311.48, Ullanlinna,1905.0,2,13861.48
899000.0,83.0,0.0,2070,10831.33, Kalasatama,2020.0,3,10831.33
210000.0,65.0,0.0,2023,3230.77, Vuosaari,1973.0,3,3230.77
630000.0,81.0,0.0,2069,7777.78, Kalasatama,2019.0,2,7777.78
139500.0,61.0,0.0,2033,2286.89, Kurkimäki,1983.0,P,2286.89
373000.0,67.0,1275.0,1989,5567.16, Lauttasaari,1939.0,3,6842.16
378000.0,74.0,0.0,2028,5108.11, Vuosaari,1978.0,3,5108.11
349000.0,42.0,0.0,2070,8309.52, Konepaja,2020.0,2,8309.52
189000.0,71.0,0.0,2041,2661.97, Meri-Rastila,1991.0,3,2661.97
278000.0,69.0,0.0,2056,4028.99, Vuosaari,2006.0,3,4028.99
399440.0,63.0,0.0,2073,6340.32, Pirkkola,2023.0,3,6340.32
169000.0,75.0,225.0,2017,2253.33, Kontula,1967.0,3,2478.33
295000.0,71.0,0.0,2063,4154.93, Lehtisaari,2013.0,3,4154.93
133000.0,54.0,0.0,2033,2462.96, Kurkimäki,1983.0,2,2462.96
368000.0,58.0,0.0,2057,6344.83, Toukola,2007.0,2,6344.83
268000.0,41.0,0.0,2071,6536.59, Pitäjänmäki,2021.0,2,6536.59
790000.0,10.0,1387.5,1986,79000.0, Taka-Töölö,1936.0,3,80387.5
165000.0,48.0,0.0,2050,3437.5, Kannelmäki,2000.0,2,3437.5
360000.0,77.0,0.0,2035,4675.32, Jollas,1985.0,3,4675.32
28184.0,82.0,0.0,2045,343.71, Vuosaari,1995.0,3,343.71
40955.0,73.0,0.0,2074,561.03, Pasila,2024.0,3,561.03
575000.0,77.0,1650.0,1979,7467.53, Kamppi,1929.0,3,9117.529999999999
222000.0,43.0,562.5,2008,5162.79, Kallio,1958.0,2,5725.29
748000.0,79.0,0.0,2074,9468.35, Lauttasaari,2024.0,3,9468.35
